sector33,1w,2w,1m,3m,6m
海運業,14.78080417856247,12.213025177064662,18.76692715765732,14.339432117296592,30.797290918685047
鉄鋼,1.475655033303247,3.725669125738107,13.432618775834104,19.601498131957637,-5.233898771398571
その他製品,4.08428542214494,10.520159298199129,12.55835611723962,15.809489641812117,13.92670462093577
精密機器,1.8713820513159358,6.104139150336688,7.715558756044276,-0.6844454615104043,2.775398748738356
非鉄金属,-2.0332927481994063,7.472152991897651,6.374607631849289,-1.7521574890687956,16.28472215371647
ゴム製品,-1.797624278926579,2.110614217421447,5.233346913996884,17.208015861408963,4.384323806487434
サービス業,-0.02820253251038496,3.6913310154644785,3.2556588786781164,19.82512890233376,33.28517888231577
卸売業,-0.9574049805495313,-1.595302627124895,3.108600627609584,-12.76633062666852,-13.829431279434385
食料品,1.2286018501867195,2.4405812669601454,1.8984195794507777,2.1709382108580195,10.045090422302003
石油・石炭製品,3.0061076771978557,-1.5635661438123893,0.365006604726581,-8.551853244231733,-17.526156980661945
医薬品,2.6570854080638657,4.2036679483849,0.11973473945244262,-4.91063516439074,-8.280078636507152
電気機器,-1.69053602455898,-2.334957160397746,-0.023785548920084665,4.594209757195281,19.134960012574066
情報・通信業,2.255681962356557,2.56451216309585,-0.24498120538671841,-0.7093989055531082,8.564994961821245
銀行業,1.4614402358388718,1.2585562491662001,-0.2844136397583723,7.923832440821532,5.5663604755701614
輸送用機器,1.5459750551837146,0.4121327664989811,-1.0958952653625251,4.477227286760491,-11.822327354980068
保険業,-0.09649459792040638,-3.4780739528336158,-1.773932645725165,-1.3326245292755372,9.288822414301684
空運業,1.6678499651731071,-3.5995119230781247,-2.362038250522702,5.599819617596791,-10.804964228511661
その他金融業,-0.5270857745468258,-3.6372273305960987,-2.5813762845542874,3.783003497044496,11.777225677056403
証券、商品先物取引業,-0.2506595909650078,-1.575451452514931,-3.019791714956821,14.93869724284409,2.2648794513830284
機械,-2.221773772045388,-5.068095190178564,-3.5636020264495896,-5.600964421630783,-14.59972524050849
建設業,2.243766923570006,-0.5611354173770455,-3.9320759522623927,-3.2745243486980935,-17.779650220057825
陸運業,3.1649875627815924,-1.4034986622614782,-5.075257781835692,-4.552201858471904,-17.89059177740842
小売業,0.7582235407643689,-2.1631064107234663,-5.591618804264787,-7.657601460360178,-18.75806231316573
化学,-1.7540311972460478,-1.933431217269049,-8.568147362478609,-2.076875899904022,-2.0977813789526865
不動産業,1.3287098421931764,-4.5979647759398485,-12.657176779150463,-14.29544441084914,-36.11193555285537
