ticker,name,sector33,price,ma25,ma75,price_above_ma25,ma25_above_ma75,cross_status,adx14,plus_di,minus_di,obv_confirm,adx_early_signal,rsi14,macd,macd_signal,macd_hist,atr14,score
7550.T,ゼンショーホールディングス,小売業,11350.0,9960.4,8702.6,True,True,-,50.8,45.8,9.4,True,False,74.0,671.44,576.93,94.5,347.6,5.0
8303.T,ＳＢＩ新生銀行,銀行業,1595.5,1484.4,1493.1,True,False,接近中,99.9,0.1,99.9,True,False,0.1,-242257.87,-356294.53,114036.66,29467.3,5.0
7272.T,ヤマハ発動機,輸送用機器,1949.0,1500.4,1299.5,True,True,-,52.2,48.6,7.9,True,False,83.0,182.68,138.73,43.95,75.4,5.0
6448.T,ブラザー工業,電気機器,4744.0,4111.8,3776.6,True,True,-,47.8,41.6,5.6,True,False,85.5,239.79,172.66,67.13,127.7,4.91
7203.T,トヨタ自動車,輸送用機器,3020.0,2961.5,2910.5,True,True,ゴールデンクロス済み,22.1,29.9,18.5,False,False,55.9,30.17,32.89,-2.72,76.9,4.88
9506.T,東北電力,電気・ガス業,1254.0,1172.2,1085.7,True,True,-,44.5,28.2,10.5,True,False,80.3,38.34,34.57,3.77,25.2,4.78
6098.T,リクルートホールディングス,サービス業,16455.0,13385.0,11221.2,True,True,-,44.2,46.8,12.8,True,False,79.1,1175.46,792.77,382.7,652.7,4.77
9069.T,センコーグループホールディングス,陸運業,2305.0,2205.1,2020.2,True,True,-,43.9,33.3,7.6,True,False,73.2,60.98,60.34,0.64,49.1,4.76
9697.T,カプコン,情報・通信業,4180.0,3727.8,3305.9,True,True,-,43.9,35.8,12.8,True,False,67.1,233.14,221.67,11.47,166.6,4.76
2914.T,日本たばこ産業,食料品,7132.0,6667.5,6207.4,True,True,-,43.8,36.2,13.3,True,False,68.7,241.0,230.37,10.63,161.0,4.75
7846.T,パイロットコーポレーション,その他製品,1983.0,1840.5,1696.2,True,True,-,43.4,39.8,12.5,True,False,71.9,65.5,52.39,13.11,45.3,4.74
4733.T,オービックビジネスコンサルタント,情報・通信業,8246.0,7525.8,6564.2,True,True,-,42.5,35.1,14.1,True,False,71.6,403.15,416.39,-13.24,281.7,4.7
6305.T,日立建機,機械,5556.0,5421.2,5342.7,True,True,ゴールデンクロス済み,16.8,24.2,15.8,False,True,54.1,70.27,61.8,8.48,176.7,4.67
8410.T,セブン銀行,銀行業,336.1,317.5,290.6,True,True,-,41.2,34.2,12.5,True,False,68.2,9.93,9.58,0.34,8.4,4.65
6457.T,グローリー,機械,4925.0,4516.6,4198.9,True,True,-,41.0,27.1,9.1,True,False,70.2,182.68,163.72,18.96,130.3,4.64
4613.T,関西ペイント,化学,2938.0,2801.4,2585.7,True,True,-,40.7,33.7,12.2,True,False,63.8,79.04,74.42,4.62,65.4,4.63
8304.T,あおぞら銀行,銀行業,3434.0,3118.7,2838.5,True,True,-,39.8,32.7,7.0,True,False,82.0,135.13,114.67,20.45,85.5,4.59
4768.T,大塚商会,情報・通信業,3536.0,3221.4,2968.8,True,True,-,38.6,41.6,14.1,True,False,68.3,146.35,133.97,12.38,106.7,4.54
5108.T,ブリヂストン,ゴム製品,4133.0,3905.5,3539.5,True,True,-,38.3,38.3,17.8,True,False,63.3,149.65,145.95,3.7,111.2,4.53
4689.T,ＬＩＮＥヤフー,情報・通信業,506.3,461.7,432.4,True,True,-,38.3,41.9,13.0,True,False,75.2,17.52,13.1,4.42,14.4,4.53
7309.T,シマノ,輸送用機器,20130.0,19200.4,17498.3,True,True,-,37.5,33.0,16.5,True,False,62.7,625.02,665.77,-40.75,585.9,4.5
3697.T,ＳＨＩＦＴ,情報・通信業,956.1,832.0,719.5,True,True,-,37.3,31.9,12.6,True,False,66.3,54.17,51.04,3.13,53.2,4.49
5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品,1291.0,1293.3,1279.5,False,True,ゴールデンクロス済み,12.2,18.4,16.6,True,False,50.8,5.31,8.92,-3.62,37.1,4.49
3941.T,レンゴー,パルプ・紙,1636.5,1514.6,1423.2,True,True,-,36.8,36.1,9.7,True,False,71.4,50.18,41.6,8.58,41.0,4.47
3405.T,クラレ,化学,1881.5,1832.1,1703.8,True,True,-,35.7,34.4,15.3,True,False,58.2,41.54,44.73,-3.19,54.3,4.43
4661.T,オリエンタルランド,サービス業,2966.5,2855.6,2483.4,True,True,-,35.4,29.1,15.6,True,False,58.2,105.2,119.78,-14.59,96.0,4.42
4206.T,アイカ工業,化学,4128.0,3836.4,3624.9,True,True,-,35.6,38.3,11.6,True,False,70.8,133.96,104.72,29.24,91.0,4.42
4114.T,日本触媒,化学,2674.0,2247.0,2137.4,True,True,-,35.3,44.1,6.0,True,False,86.0,143.71,88.46,55.25,78.5,4.41
6460.T,セガサミーホールディングス,機械,2736.5,2634.0,2392.9,True,True,-,34.7,30.9,19.4,True,False,57.8,83.79,97.55,-13.77,103.9,4.39
7867.T,タカラトミー,その他製品,3598.0,3546.7,3152.1,True,True,-,34.7,26.3,19.9,True,False,55.7,80.02,96.95,-16.93,119.8,4.39
3197.T,すかいらーくホールディングス,小売業,3258.0,3104.8,2916.1,True,True,-,34.6,32.9,15.1,True,False,61.5,80.91,77.66,3.25,92.2,4.38
4523.T,エーザイ,医薬品,4858.0,4661.4,4323.2,True,True,-,34.2,34.7,18.3,True,False,59.3,144.29,151.84,-7.54,133.4,4.37
4911.T,資生堂,化学,3557.0,3236.7,2908.8,True,True,-,34.3,38.3,18.9,True,False,64.8,179.25,168.68,10.57,146.6,4.37
5444.T,大和工業,鉄鋼,13235.0,13152.6,12337.9,True,True,-,34.1,20.9,11.3,True,False,55.5,178.78,238.23,-59.45,353.5,4.36
6952.T,カシオ計算機,電気機器,2456.0,2008.0,1850.9,True,True,-,33.6,45.9,13.8,True,True,73.5,166.0,116.02,49.99,89.2,4.34
6701.T,日本電気,電気機器,5168.0,4612.2,4267.4,True,True,-,33.2,35.4,12.6,True,False,71.1,210.72,171.94,38.78,188.2,4.33
9684.T,スクウェア・エニックス・ホールディングス,情報・通信業,2930.5,2695.7,2577.8,True,True,-,32.9,45.5,17.7,True,False,64.0,95.78,77.78,18.0,112.4,4.32
5301.T,東海カーボン,ガラス・土石製品,1797.0,1657.8,1629.5,True,True,-,32.8,40.1,16.3,True,False,65.3,39.3,13.83,25.47,66.3,4.31
9432.T,ＮＴＴ,情報・通信業,162.7,154.3,150.5,True,True,-,32.5,36.8,13.3,True,False,67.1,3.06,2.31,0.75,3.0,4.3
6436.T,アマノ,機械,3876.0,3855.3,3698.1,True,True,-,32.4,22.4,13.4,True,False,53.9,37.23,48.05,-10.82,79.2,4.3
8136.T,サンリオ,卸売業,1282.5,1247.7,1040.5,True,True,-,32.5,27.7,22.5,True,False,53.9,45.86,58.41,-12.55,82.8,4.3
3994.T,マネーフォワード,情報・通信業,6479.0,5434.0,4697.0,True,True,-,32.2,35.6,9.5,True,False,72.2,336.07,255.43,80.63,372.3,4.29
4912.T,ライオン,化学,1905.5,1739.1,1655.5,True,True,-,31.3,37.6,10.7,True,True,72.4,56.19,36.2,19.98,49.1,4.25
2502.T,アサヒグループホールディングス,食料品,1743.5,1659.7,1563.3,True,True,-,31.1,34.8,14.8,True,False,64.1,32.89,30.89,1.99,48.4,4.24
6869.T,シスメックス,電気機器,1918.5,1660.2,1501.4,True,True,-,30.8,42.9,16.6,True,False,70.7,100.76,72.29,28.48,68.1,4.23
7453.T,良品計画,小売業,4499.0,4288.8,3822.0,True,True,-,30.8,30.9,14.8,True,False,65.4,153.4,152.35,1.05,150.1,4.23
9616.T,共立メンテナンス,サービス業,3278.0,3230.2,2848.0,True,True,-,30.5,24.4,23.1,True,False,54.0,86.94,116.91,-29.97,100.9,4.22
7951.T,ヤマハ,その他製品,1356.5,1271.7,1174.7,True,True,-,30.6,36.2,20.3,True,False,65.3,50.92,45.26,5.66,37.1,4.22
3397.T,トリドールホールディングス,小売業,4203.0,4195.0,3951.6,True,True,-,30.6,32.4,15.2,True,False,52.5,60.95,80.74,-19.8,130.4,4.22
9934.T,因幡電機産業,卸売業,3051.0,2862.9,2763.3,True,True,-,30.2,30.9,10.3,True,True,79.8,80.62,64.36,16.26,62.1,4.21
4578.T,大塚ホールディングス,医薬品,12030.0,11534.8,11129.6,True,True,-,30.3,26.5,14.9,True,False,56.4,328.54,295.83,32.72,436.7,4.21
5021.T,コスモエネルギーホールディングス,石油・石炭製品,4151.0,3940.7,3822.4,True,True,-,30.0,29.1,11.5,True,False,64.4,67.07,44.76,22.32,118.0,4.2
6532.T,ベイカレント,サービス業,7687.0,6959.4,6122.8,True,True,-,30.1,33.6,14.2,True,False,68.4,304.01,267.75,36.26,323.7,4.2
4631.T,ＤＩＣ,化学,5466.0,4719.2,4614.3,True,True,-,29.8,47.0,18.4,True,False,68.8,218.5,90.37,128.13,198.9,4.19
9101.T,日本郵船,海運業,6400.0,5917.9,5580.3,True,True,-,29.3,33.7,13.5,True,False,70.4,193.68,170.12,23.56,160.7,4.17
7267.T,本田技研工業,輸送用機器,1658.0,1596.9,1471.2,True,True,-,29.1,25.8,16.2,True,False,59.4,39.99,41.15,-1.16,45.8,4.16
8630.T,ＳＯＭＰＯホールディングス,保険業,7011.0,6929.2,6375.0,True,True,-,28.8,30.6,19.7,True,False,56.3,108.22,140.68,-32.47,152.6,4.15
4922.T,コーセーホールディングス,化学,5747.0,5634.9,5386.3,True,True,-,28.8,27.2,17.0,True,False,55.4,105.59,121.55,-15.96,178.8,4.15
4401.T,ＡＤＥＫＡ,化学,4772.0,4219.1,4143.3,True,True,-,28.3,36.9,13.4,True,False,71.7,170.57,82.56,88.01,163.5,4.13
4208.T,ＵＢＥ,化学,3654.0,3303.6,3035.5,True,True,-,28.1,37.8,11.7,True,True,73.7,120.1,76.34,43.76,93.3,4.12
