code,ticker,name,market,sector33_code,sector33,size_code,size
8593,8593.T,三菱ＨＣキャピタル,プライム（内国株式）,7200,その他金融業,4,TOPIX Mid400
8595,8595.T,ジャフコ　グループ,プライム（内国株式）,7100,証券、商品先物取引業,4,TOPIX Mid400
8601,8601.T,大和証券グループ本社,プライム（内国株式）,7100,証券、商品先物取引業,4,TOPIX Mid400
8604,8604.T,野村ホールディングス,プライム（内国株式）,7100,証券、商品先物取引業,2,TOPIX Large70
8630,8630.T,ＳＯＭＰＯホールディングス,プライム（内国株式）,7150,保険業,2,TOPIX Large70
8697,8697.T,日本取引所グループ,プライム（内国株式）,7200,その他金融業,2,TOPIX Large70
8725,8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム（内国株式）,7150,保険業,2,TOPIX Large70
8729,8729.T,ソニーフィナンシャルグループ,プライム（内国株式）,7150,保険業,1,TOPIX Core30
8750,8750.T,第一ライフグループ,プライム（内国株式）,7150,保険業,2,TOPIX Large70
8766,8766.T,東京海上ホールディングス,プライム（内国株式）,7150,保険業,1,TOPIX Core30
8795,8795.T,Ｔ＆Ｄホールディングス,プライム（内国株式）,7150,保険業,4,TOPIX Mid400
8801,8801.T,三井不動産,プライム（内国株式）,8050,不動産業,2,TOPIX Large70
8802,8802.T,三菱地所,プライム（内国株式）,8050,不動産業,2,TOPIX Large70
8804,8804.T,東京建物,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
8830,8830.T,住友不動産,プライム（内国株式）,8050,不動産業,2,TOPIX Large70
8876,8876.T,リログループ,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
9001,9001.T,東武鉄道,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9003,9003.T,相鉄ホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9005,9005.T,東急,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9006,9006.T,京浜急行電鉄,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9007,9007.T,小田急電鉄,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9008,9008.T,京王電鉄,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
