code,ticker,name,market,sector33_code,sector33,size_code,size
4506,4506.T,住友ファーマ,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4507,4507.T,塩野義製薬,プライム（内国株式）,3250,医薬品,2,TOPIX Large70
4516,4516.T,日本新薬,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4519,4519.T,中外製薬,プライム（内国株式）,3250,医薬品,2,TOPIX Large70
4523,4523.T,エーザイ,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4527,4527.T,ロート製薬,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4528,4528.T,小野薬品工業,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4536,4536.T,参天製薬,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4540,4540.T,ツムラ,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4543,4543.T,テルモ,プライム（内国株式）,3750,精密機器,2,TOPIX Large70
4544,4544.T,Ｈ．Ｕ．グループホールディングス,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
4568,4568.T,第一三共,プライム（内国株式）,3250,医薬品,1,TOPIX Core30
4578,4578.T,大塚ホールディングス,プライム（内国株式）,3250,医薬品,2,TOPIX Large70
4587,4587.T,ペプチドリーム,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
4612,4612.T,日本ペイントホールディングス,プライム（内国株式）,3200,化学,4,TOPIX Mid400
